id,name,tr,state,prov,cat,badge,unesco,lat,lon,ap,apn,fd,apkm,apmin,season,entry,wikiurl
vize,Vize,Vize,Marmara,Kırklareli,heritage,gem,False,41.57361,27.76528,TEQ,Tekirdağ Çorlu (TEQ),≈4h40,65,65,Apr–Jun and Sep–Oct — the plateau is windy and bleak in winter,Free,https://en.wikipedia.org/wiki/Vize
erdek,Erdek,Erdek,Marmara,Balıkesir,coast,gem,False,40.39806,27.79139,TEQ,Tekirdağ Çorlu (TEQ),≈4h40,110,105,Jun–Sep — half-shut and grey from November to March,Free,https://en.wikipedia.org/wiki/Erdek
kapidag-peninsula,Kapıdağ Peninsula,Kapıdağ Yarımadası,Marmara,Balıkesir,coast,gem,False,40.45949,27.85172,TEQ,Tekirdağ Çorlu (TEQ),≈4h40,100,95,"May–Jun and Sep–Oct for the loop drive, Jul–Aug for swimming",Free,https://en.wikipedia.org/wiki/Kap%C4%B1da%C4%9F_Peninsula
cyzicus,Cyzicus,Kyzikos,Marmara,Balıkesir,ruins,gem,False,40.3878,27.8706,TEQ,Tekirdağ Çorlu (TEQ),≈4h40,110,105,Apr–Jun and Sep–Oct — by midsummer the site is chest-high in thistle,Free,https://en.wikipedia.org/wiki/Cyzicus
igneada-longoz,İğneada Floodplain Forests,İğneada Longoz Ormanları,Marmara,Kırklareli,nature,gem,False,41.81944,27.95389,TEQ,Tekirdağ Çorlu (TEQ),≈4h40,100,95,"Apr–Jun for flooded forest and birds, Sep–Oct for colour — mosquitoes are serious Jul–Aug",≈₺60 (≈€1.50) per person,https://en.wikipedia.org/wiki/%C4%B0%C4%9Fneada_Floodplain_Forests_National_Park
lake-manyas-bird-paradise,Bird Paradise National Park (Lake Manyas),Kuş Cenneti Millî Parkı,Marmara,Balıkesir,nature,icon,False,40.18333,27.96667,TEQ,Tekirdağ Çorlu (TEQ),≈4h40,140,135,Mar–May and Sep–Oct for migration — the pelicans are on nests from March,≈₺100 (≈€2.50),https://en.wikipedia.org/wiki/Lake_Ku%C5%9F
kiyikoy,Kıyıköy,Kıyıköy,Marmara,Kırklareli,village,gem,False,41.63528,28.09611,TEQ,Tekirdağ Çorlu (TEQ),≈4h40,75,75,"Jun–Sep — the sea here is cold, and Nov–Mar is grey, wet and largely shut",Free,https://en.wikipedia.org/wiki/K%C4%B1y%C4%B1k%C3%B6y
golyazi,Gölyazı,Gölyazı,Marmara,Bursa,village,gem,False,40.1661,28.6782,YEI,Bursa Yenişehir (YEI),≈4h40,100,95,"Mar–May for pelicans and blossom, Sep–Oct for still water",Free,https://en.wikipedia.org/wiki/G%C3%B6lyaz%C4%B1
trilye-zeytinbagi,Trilye (Zeytinbağı),Tirilye,Marmara,Bursa,village,gem,False,40.39222,28.79444,YEI,Bursa Yenişehir (YEI),≈4h40,85,80,Apr–Jun and Sep–Oct — the November olive harvest is the moment to buy oil,Free,https://en.wikipedia.org/wiki/Tirilye
mudanya,Mudanya,Mudanya,Marmara,Bursa,city,gem,False,40.37639,28.88333,YEI,Bursa Yenişehir (YEI),≈4h40,75,75,May–Jun and Sep–Oct — August fills every table with Bursa weekenders,Armistice House ≈₺60 (≈€1.50),https://en.wikipedia.org/wiki/Mudanya
walls-of-constantinople,Theodosian Land Walls,İstanbul Kara Surları,Marmara,İstanbul,ruins,icon,True,41.0122,28.9219,IST,Istanbul (IST),≈2h50,40,40,Apr–May and Oct — high summer means no shade and hard light on the brick,Free,https://en.wikipedia.org/wiki/Walls_of_Constantinople
yedikule-fortress,Yedikule Fortress,Yedikule Hisarı,Marmara,İstanbul,heritage,gem,True,40.99335,28.92309,SAW,Istanbul Sabiha Gökçen (SAW),≈2h45,45,45,Apr–Jun and Sep–Oct — the courtyard is bare and hot in midsummer,Small fee — check locally · usually covered by Museum Pass Türkiye,https://en.wikipedia.org/wiki/Yedikule_Fortress
samatya,Samatya,Samatya,Marmara,İstanbul,city,gem,False,41,28.93333,SAW,Istanbul Sabiha Gökçen (SAW),≈2h45,45,45,Year-round; Apr–Jun and Sep–Oct for square tables outdoors,Free,https://en.wikipedia.org/wiki/Samatya
eyup-sultan-mosque,Eyüp Sultan Mosque,Eyüp Sultan Camii,Marmara,İstanbul,heritage,icon,False,41.04795,28.93379,IST,Istanbul (IST),≈2h50,40,40,Year-round; Ramadan evenings are extraordinary but jammed,"Free · conservative dress expected, this is a pilgrimage site",https://en.wikipedia.org/wiki/Ey%C3%BCp_Sultan_Mosque
pierre-loti-hill,Pierre Loti Hill,Piyer Loti Tepesi,Marmara,İstanbul,mountain,gem,False,41.05278,28.93444,IST,Istanbul (IST),≈2h50,40,40,"Sep–Nov for clear air; hazy and hot Jul–Aug, muddy Jan–Feb",Free · cable car a few lira each way,https://en.wikipedia.org/wiki/Ey%C3%BCp_Cemetery
chora-kariye,Chora Church (Kariye Mosque),Kariye Camii,Marmara,İstanbul,heritage,icon,True,41.03122,28.93903,IST,Istanbul (IST),≈2h50,40,40,Year-round — closed Wednesdays in some seasons; check before travelling out,"≈€20 for foreign visitors · arrangements changed with the 2024 reopening, check on the day",https://en.wikipedia.org/wiki/The_Chora
balat,Balat,Balat,Marmara,İstanbul,city,gem,False,41.0328,28.9456,IST,Istanbul (IST),≈2h50,40,40,Apr–Jun and Sep–Oct; Sunday mornings are quietest,Free · synagogue visits by prior arrangement only,"https://en.wikipedia.org/wiki/Balat,_Fatih"
maglova-aqueduct,Mağlova Aqueduct,Mağlova Kemeri,Marmara,İstanbul,heritage,gem,False,41.1861,28.9469,IST,Istanbul (IST),≈2h50,25,25,Apr–Jun and Sep–Oct; the track in is impassable mud after heavy rain,"Free · open land, no gate",https://en.wikipedia.org/wiki/Ma%C4%9Flova_Aqueduct
bulgarian-st-stephen-church,Bulgarian St Stephen Church,Sveti Stefan Bulgar Kilisesi,Marmara,İstanbul,heritage,gem,False,41.0318,28.9497,IST,Istanbul (IST),≈2h50,40,40,Year-round; morning light comes off the water onto the façade,Free · donation box inside,https://en.wikipedia.org/wiki/Bulgarian_St._Stephen_Church
belgrad-forest,Belgrad Forest,Belgrad Ormanı,Marmara,İstanbul,nature,gem,False,41.19431,28.95138,IST,Istanbul (IST),≈2h50,25,25,Apr–Jun for green and Oct–Nov for colour; winter is muddy but atmospheric,Small entrance fee per person and per car — check locally · Arboretum ticketed separately,https://en.wikipedia.org/wiki/Belgrad_Forest
fener,Fener,Fener,Marmara,İstanbul,city,gem,False,41.02889,28.95194,IST,Istanbul (IST),≈2h50,40,40,Apr–Jun and Sep–Oct; the lanes are treacherous in winter rain,"Free · Patriarchate open most mornings, modest dress",https://en.wikipedia.org/wiki/Fener
zeyrek-mosque-pantokrator,Zeyrek Mosque (Pantokrator Monastery),Zeyrek Camii,Marmara,İstanbul,heritage,gem,True,41.01972,28.95722,SAW,Istanbul Sabiha Gökçen (SAW),≈2h45,40,40,Year-round — the sloping lanes are slippery in winter rain,"Free · working mosque, closed to visitors around prayer times",https://en.wikipedia.org/wiki/Zeyrek_Mosque
golden-horn,The Golden Horn,Haliç,Marmara,İstanbul,water,icon,False,41.02917,28.96111,IST,Istanbul (IST),≈2h50,40,40,Apr–Jun and Sep–Oct — winter southerlies make the small ferries choppy,Free · ferry fare a few lira with an İstanbulkart,https://en.wikipedia.org/wiki/Golden_Horn
suleymaniye-mosque,Süleymaniye Mosque,Süleymaniye Camii,Marmara,İstanbul,heritage,icon,True,41.01611,28.96389,SAW,Istanbul Sabiha Gökçen (SAW),≈2h45,40,40,Year-round; late afternoon in Apr–Jun and Sep–Oct for the terrace light,Free,https://en.wikipedia.org/wiki/S%C3%BCleymaniye_Mosque
grand-bazaar-istanbul,Grand Bazaar,Kapalıçarşı,Marmara,İstanbul,city,icon,False,41.01058,28.96793,SAW,Istanbul Sabiha Gökçen (SAW),≈2h45,40,40,Year-round · closed Sundays and public holidays,Free · closed Sundays,"https://en.wikipedia.org/wiki/Grand_Bazaar,_Istanbul"
rustem-pasha-mosque,Rüstem Pasha Mosque,Rüstem Paşa Camii,Marmara,İstanbul,heritage,gem,False,41.0175,28.96861,SAW,Istanbul Sabiha Gökçen (SAW),≈2h45,40,40,Year-round; late morning light on the porch tiles is best,Free,https://en.wikipedia.org/wiki/R%C3%BCstem_Pasha_Mosque
spice-bazaar-eminonu,Spice Bazaar and Eminönü,Mısır Çarşısı,Marmara,İstanbul,city,icon,False,41.01639,28.97056,SAW,Istanbul Sabiha Gökçen (SAW),≈2h45,40,40,Year-round; mornings before eleven for the food streets,Free,https://en.wikipedia.org/wiki/Spice_Bazaar
karakoy,Karaköy,Karaköy,Marmara,İstanbul,city,gem,False,41.02278,28.975,SAW,Istanbul Sabiha Gökçen (SAW),≈2h45,40,40,Year-round; May–Jun and Sep–Oct for outdoor tables,Free,https://en.wikipedia.org/wiki/Karak%C3%B6y
hippodrome-constantinople,Hippodrome of Constantinople,Sultanahmet Meydanı,Marmara,İstanbul,ruins,icon,True,41.00639,28.97583,SAW,Istanbul Sabiha Gökçen (SAW),≈2h45,40,40,Year-round — best in spring evenings when locals take over the benches,Free,https://en.wikipedia.org/wiki/Hippodrome_of_Constantinople
blue-mosque-sultanahmet,Blue Mosque (Sultan Ahmed Mosque),Sultanahmet Camii,Marmara,İstanbul,heritage,icon,True,41.00539,28.97682,SAW,Istanbul Sabiha Gökçen (SAW),≈2h45,40,40,Apr–Jun and Sep–Oct — the courtyard is a furnace in August afternoons,"Free · modest dress required, headscarves lent at the door","https://en.wikipedia.org/wiki/Blue_Mosque,_Istanbul"
basilica-cistern,Basilica Cistern,Yerebatan Sarnıcı,Marmara,İstanbul,heritage,icon,True,41.00806,28.97778,SAW,Istanbul Sabiha Gökçen (SAW),≈2h45,40,40,Year-round — the single reliable cool refuge in July and August,"≈€25–30 day ticket, night ticket dearer · not covered by the Museum Pass",https://en.wikipedia.org/wiki/Basilica_Cistern
hagia-sophia,Hagia Sophia,Ayasofya-i Kebir Cami-i Şerifi,Marmara,İstanbul,heritage,icon,True,41.00833,28.98,SAW,Istanbul Sabiha Gökçen (SAW),≈2h45,40,40,Nov–Mar for the light and the short queues — May and September mean two-hour lines,"≈€25 for foreign visitors, upper gallery route · not covered by the Museum Pass",https://en.wikipedia.org/wiki/Hagia_Sophia
topkapi-palace,Topkapı Palace,Topkapı Sarayı,Marmara,İstanbul,heritage,icon,True,41.013,28.984,SAW,Istanbul Sabiha Gökçen (SAW),≈2h45,40,40,Apr–May and Oct — closed Tuesdays; July courtyards have almost no shade,≈€45 including the Harem · covered by Museum Pass Türkiye · closed Tuesdays,https://en.wikipedia.org/wiki/Topkap%C4%B1_Palace
dolmabahce-palace,Dolmabahçe Palace,Dolmabahçe Sarayı,Marmara,İstanbul,heritage,icon,False,41.03944,29.00167,SAW,Istanbul Sabiha Gökçen (SAW),≈2h45,40,40,Year-round · closed Mondays; the seaside garden is best in May,"≈€40 combined Selamlık and Harem · National Palaces ticket, not on the Museum Pass · closed Mondays",https://en.wikipedia.org/wiki/Dolmabah%C3%A7e_Palace
karacaahmet-cemetery,Karacaahmet Cemetery,Karacaahmet Mezarlığı,Marmara,İstanbul,heritage,gem,False,41.01111,29.02611,SAW,Istanbul Sabiha Gökçen (SAW),≈2h45,35,35,Year-round; Oct–Nov light through the cypresses is the best of it,"Free · a working cemetery, dress and behave accordingly",https://en.wikipedia.org/wiki/Karacaahmet_Cemetery
kuzguncuk,Kuzguncuk,Kuzguncuk,Marmara,İstanbul,village,gem,False,41.03667,29.02972,SAW,Istanbul Sabiha Gökçen (SAW),≈2h45,35,35,Apr–Jun and Sep–Oct — spring wisteria on the house fronts,Free,https://en.wikipedia.org/wiki/Kuzguncuk
kadikoy,Kadıköy,Kadıköy,Marmara,İstanbul,city,gem,False,40.99339,29.03736,SAW,Istanbul Sabiha Gökçen (SAW),≈2h45,35,35,Apr–Jun and Sep–Oct — Moda's seafront is bleak in a February northerly,Free,https://en.wikipedia.org/wiki/Kad%C4%B1k%C3%B6y
kilyos,Kilyos,Kilyos,Marmara,İstanbul,coast,gem,False,41.24917,29.0375,IST,Istanbul (IST),≈2h50,30,30,Jun–early Sep only; out of season the clubs shut and the wind is raw,Beach club day entry roughly ₺500–1500 (≈€11–33) depending on the club and the day,https://en.wikipedia.org/wiki/Kilyos
beylerbeyi-palace,Beylerbeyi Palace,Beylerbeyi Sarayı,Marmara,İstanbul,heritage,gem,False,41.0425,29.04,SAW,Istanbul Sabiha Gökçen (SAW),≈2h45,35,35,Apr–Jun and Sep–Oct · closed Mondays,"≈€15 · National Palaces ticket, not on the Museum Pass · closed Mondays",https://en.wikipedia.org/wiki/Beylerbeyi_Palace
arnavutkoy-bosphorus,Arnavutköy,Arnavutköy,Marmara,İstanbul,village,gem,False,41.06806,29.04306,SAW,Istanbul Sabiha Gökçen (SAW),≈2h45,40,40,May–Jun and Sep–Oct; the point is windswept from November,Free,https://en.wikipedia.org/wiki/Arnavutk%C3%B6y
muradiye-complex-bursa,Muradiye Complex,Muradiye Külliyesi,Marmara,Bursa,heritage,gem,True,40.19085,29.04614,YEI,Bursa Yenişehir (YEI),≈4h40,60,60,"Apr–Jun for the garden, Oct for the plane leaves",Free,https://en.wikipedia.org/wiki/Muradiye_Complex
kinaliada,Kınalıada,Kınalıada,Marmara,İstanbul,coast,gem,False,40.91306,29.05,SAW,Istanbul Sabiha Gökçen (SAW),≈2h45,30,30,Jun–Sep for swimming; bare and windswept the rest of the year,Free · ferry a few lira with an İstanbulkart · beach clubs charge separately,https://en.wikipedia.org/wiki/K%C4%B1nal%C4%B1ada
rumelihisari,Rumeli Hisarı,Rumelihisarı,Marmara,İstanbul,heritage,icon,False,41.08472,29.05611,SAW,Istanbul Sabiha Gökçen (SAW),≈2h45,40,40,Apr–Jun and Sep–Oct — the slope inside is punishing in July heat,≈€10 · covered by Museum Pass Türkiye · closed Wednesdays in some seasons,https://en.wikipedia.org/wiki/Rumelihisar%C4%B1
bursa-grand-mosque,Grand Mosque of Bursa,Bursa Ulu Camii,Marmara,Bursa,heritage,icon,True,40.18389,29.06167,YEI,Bursa Yenişehir (YEI),≈4h40,55,55,Year-round — coldest and emptiest on January mornings,Free,https://en.wikipedia.org/wiki/Grand_Mosque_of_Bursa
burgazada,Burgazada,Burgazada,Marmara,İstanbul,coast,gem,False,40.8799,29.0618,SAW,Istanbul Sabiha Gökçen (SAW),≈2h45,25,25,Jun–Sep to swim; May and Oct for the loop walk without heat,Free · museum free · ferry a few lira with an İstanbulkart,https://en.wikipedia.org/wiki/Burgazada
cengelkoy,Çengelköy,Çengelköy,Marmara,İstanbul,village,gem,False,41.0491,29.062,SAW,Istanbul Sabiha Gökçen (SAW),≈2h45,35,35,May–Jun and Sep–Oct; the tea garden works year-round with braziers,Free,https://en.wikipedia.org/wiki/%C3%87engelk%C3%B6y
bursa-hanlar-district,Bursa,Bursa,Marmara,Bursa,city,icon,True,40.19722,29.06222,YEI,Bursa Yenişehir (YEI),≈4h40,55,55,Apr–Jun and Sep–Oct — the basin traps haze in high summer and drizzle from December,"Free to walk; mosques free, city museums ≈₺150 (≈€4)",https://en.wikipedia.org/wiki/Bursa
kucuksu-pavilion,Küçüksu Pavilion,Küçüksu Kasrı,Marmara,İstanbul,heritage,gem,False,41.07845,29.06485,SAW,Istanbul Sabiha Gökçen (SAW),≈2h45,35,35,Apr–Jun and Sep–Oct · closed Mondays,"≈€8 · National Palaces ticket, not on the Museum Pass · closed Mondays",https://en.wikipedia.org/wiki/K%C3%BC%C3%A7%C3%BCksu_Pavilion
anadoluhisari,Anadolu Hisarı,Anadoluhisarı,Marmara,İstanbul,heritage,gem,False,41.08194,29.06694,SAW,Istanbul Sabiha Gökçen (SAW),≈2h45,35,35,Apr–Jun and Sep–Oct; the stream mouth is best in morning light,"Free · fortress interior closed, viewed from outside",https://en.wikipedia.org/wiki/Anadoluhisar%C4%B1
camlica-hill,Çamlıca Hill,Çamlıca Tepesi,Marmara,İstanbul,mountain,gem,False,41.0275,29.06833,SAW,Istanbul Sabiha Gökçen (SAW),≈2h45,30,30,Sep–Nov and Mar–May for clear air; summer haze flattens the view,Free · small parking charge,https://en.wikipedia.org/wiki/%C3%87aml%C4%B1ca_Hill
yesil-complex-bursa,Green Mosque and Green Tomb,Yeşil Cami ve Yeşil Türbe,Marmara,Bursa,heritage,icon,True,40.18194,29.07444,YEI,Bursa Yenişehir (YEI),≈4h40,55,55,Year-round — spring light through the tomb's stained glass is the best of it,Free (mosque and tomb); museum in the medrese ≈₺100 (≈€3),"https://en.wikipedia.org/wiki/Green_Mosque,_Bursa"
bosphorus-ferry,The Bosphorus Ferry,Boğaz Vapuru,Marmara,İstanbul,drive,icon,False,41.11944,29.07528,SAW,Istanbul Sabiha Gökçen (SAW),≈2h45,40,40,May–Jun and Sep–Oct; winter crossings are cold and wet on deck but half empty,≈€8 for the full Şehir Hatları round trip · short hops a few lira with an İstanbulkart,https://en.wikipedia.org/wiki/Bosporus
anadolu-kavagi,Anadolu Kavağı and Yoros Castle,Anadolukavağı ve Yoros Kalesi,Marmara,İstanbul,village,gem,False,41.17444,29.08944,IST,Istanbul (IST),≈2h50,40,40,May–Jun and Sep–Oct; fog and wind off the Black Sea from November,Free · the castle is open ground with no gate or ticket,https://en.wikipedia.org/wiki/Anadolukava%C4%9F%C4%B1
heybeliada,Heybeliada,Heybeliada,Marmara,İstanbul,coast,gem,False,40.87778,29.09167,SAW,Istanbul Sabiha Gökçen (SAW),≈2h45,25,25,"Jun–Sep for swimming, May and Oct for walking the ring road","Free · ferry from Kabataş or Bostancı, a few lira with an İstanbulkart",https://en.wikipedia.org/wiki/Heybeliada
buyukada,Büyükada,Büyükada,Marmara,İstanbul,coast,icon,False,40.85778,29.12,SAW,Istanbul Sabiha Gökçen (SAW),≈2h45,20,20,May–Jun and Sep–Oct — July and August are packed; many places shut Nov–Mar,"Free · ferry from Kabataş or Bostancı, a few lira with an İstanbulkart",https://en.wikipedia.org/wiki/B%C3%BCy%C3%BCkada
cinarcik-yalova-coast,Çınarcık and the Yalova Coast,Çınarcık ve Yalova Sahili,Marmara,Yalova,coast,gem,False,40.64222,29.12028,SAW,Istanbul Sabiha Gökçen (SAW),≈2h45,40,40,Jun–Sep for swimming — July and August weekends multiply the population,Free,https://en.wikipedia.org/wiki/%C3%87%C4%B1narc%C4%B1k
cumalikizik,Cumalıkızık,Cumalıkızık,Marmara,Bursa,village,icon,True,40.175,29.17306,YEI,Bursa Yenişehir (YEI),≈4h40,45,45,Apr–Jun and Sep–Oct — raspberry season in June is when the stalls are best,Small fee — check locally,https://en.wikipedia.org/wiki/Cumal%C4%B1k%C4%B1z%C4%B1k
yalova-termal,Yalova Termal,"Termal, Yalova",Marmara,Yalova,water,gem,False,40.60528,29.17444,SAW,Istanbul Sabiha Gökçen (SAW),≈2h45,45,45,Oct–Apr — the point of a hot bath is not August,Kurşunlu Bath ≈₺400 (≈€9) per session,https://en.wikipedia.org/wiki/Termal
polonezkoy,Polonezköy,Polonezköy,Marmara,İstanbul,village,gem,False,41.11,29.21194,SAW,Istanbul Sabiha Gökçen (SAW),≈2h45,30,30,"May–Jun for mulberries, Oct–Nov for the forest colour; midweek always quieter",Free · nature park charges a small entry per car,https://en.wikipedia.org/wiki/Polonezk%C3%B6y
riva,Riva,Riva,Marmara,İstanbul,coast,gem,False,41.22444,29.21889,SAW,Istanbul Sabiha Gökçen (SAW),≈2h45,50,50,Jun–Sep for the beach; the castle walk is best in Apr–May,Free,"https://en.wikipedia.org/wiki/Riva,_Istanbul"
uludag,Uludağ,Uludağ,Marmara,Bursa,mountain,icon,False,40.07057,29.22154,YEI,Bursa Yenişehir (YEI),≈4h40,45,45,"Jan–Mar for snow, Jun–Sep for walking — Apr–May and November are mud and closed lifts",National park vehicle fee ≈₺200 (≈€5) · cable car ≈₺600 (≈€14) return,https://en.wikipedia.org/wiki/Uluda%C4%9F
karaca-arboretum,Karaca Arboretum,Karaca Arboretumu,Marmara,Yalova,nature,gem,False,40.63194,29.22639,SAW,Istanbul Sabiha Gökçen (SAW),≈2h45,40,40,"Apr–May for magnolia and blossom, late Oct–Nov for maple colour",≈₺150 (≈€4),https://en.wikipedia.org/wiki/Karaca_Arboretum
